Date,City,Value
01/11/2012,Galle,78
01/12/2012,Galle,58
01/01/2012,Hambantota,58
01/02/2012,Hambantota,66
01/03/2012,Hambantota,45
01/04/2012,Hambantota,37
01/05/2012,Hambantota,31
01/06/2012,Hambantota,59
01/07/2012,Hambantota,51
01/08/2012,Hambantota,78
01/09/2012,Hambantota,33
01/10/2012,Hambantota,53
01/11/2012,Hambantota,60
01/12/2012,Hambantota,33
01/01/2012,Matara,186
01/02/2012,Matara,147
01/03/2012,Matara,155
01/04/2012,Matara,94
01/05/2012,Matara,84
01/06/2012,Matara,147
01/07/2012,Matara,186
01/08/2012,Matara,241
01/09/2012,Matara,141
01/10/2012,Matara,196
01/11/2012,Matara,158
01/12/2012,Matara,100
01/01/2012,Jaffna,91
01/02/2012,Jaffna,40
01/03/2012,Jaffna,43
01/04/2012,Jaffna,24
01/05/2012,Jaffna,27
01/06/2012,Jaffna,34
01/07/2012,Jaffna,26
01/08/2012,Jaffna,36
01/09/2012,Jaffna,41
01/10/2012,Jaffna,143
01/11/2012,Jaffna,205
01/12/2012,Jaffna,184
01/01/2012,Killinochchi,8
01/02/2012,Killinochchi,2
01/03/2012,Killinochchi,5
01/04/2012,Killinochchi,3
01/05/2012,Killinochchi,19
01/06/2012,Killinochchi,16
01/07/2012,Killinochchi,8
01/08/2012,Killinochchi,11
01/09/2012,Killinochchi,6
01/10/2012,Killinochchi,2
01/11/2012,Killinochchi,5
01/12/2012,Killinochchi,8
01/01/2012,Mannar,38
01/02/2012,Mannar,16
01/03/2012,Mannar,10
01/04/2012,Mannar,9
01/05/2012,Mannar,6
01/06/2012,Mannar,15
01/07/2012,Mannar,19
01/08/2012,Mannar,11
01/09/2012,Mannar,2
01/10/2012,Mannar,6
01/11/2012,Mannar,21
01/12/2012,Mannar,33
01/01/2012,Vauniya,13
01/02/2012,Vauniya,5
01/03/2012,Vauniya,5
01/04/2012,Vauniya,2
01/05/2012,Vauniya,5
01/06/2012,Vauniya,2
01/07/2012,Vauniya,3
01/08/2012,Vauniya,16
01/09/2012,Vauniya,20
01/10/2012,Vauniya,13
01/11/2012,Vauniya,9
01/12/2012,Vauniya,11
01/01/2012,Mulative,2
01/02/2012,Mulative,1
01/03/2012,Mulative,1
01/04/2012,Mulative,1
01/05/2012,Mulative,3
01/06/2012,Mulative,4
01/07/2012,Mulative,5
01/08/2012,Mulative,3
01/09/2012,Mulative,2
01/10/2012,Mulative,0
01/11/2012,Mulative,6
01/12/2012,Mulative,14
01/01/2012,Battocolo,263
01/02/2012,Battocolo,116
01/03/2012,Battocolo,91
01/04/2012,Battocolo,32
01/05/2012,Battocolo,35
01/06/2012,Battocolo,32
01/07/2012,Battocolo,11
01/08/2012,Battocolo,21
01/09/2012,Battocolo,7
01/10/2012,Battocolo,26
01/11/2012,Battocolo,36
01/12/2012,Battocolo,47
01/01/2012,Ampara,18
01/02/2012,Ampara,6
01/03/2012,Ampara,4
01/04/2012,Ampara,9
01/05/2012,Ampara,21
01/06/2012,Ampara,15
01/07/2012,Ampara,29
01/08/2012,Ampara,13
01/09/2012,Ampara,9
01/10/2012,Ampara,11
01/11/2012,Ampara,14
01/12/2012,Ampara,6
01/01/2012,Trincomalee,23
01/02/2012,Trincomalee,23
01/03/2012,Trincomalee,26
01/04/2012,Trincomalee,6
01/05/2012,Trincomalee,8
01/06/2012,Trincomalee,16
01/07/2012,Trincomalee,8
01/08/2012,Trincomalee,13
01/09/2012,Trincomalee,7
01/10/2012,Trincomalee,5
01/11/2012,Trincomalee,15
01/12/2012,Trincomalee,18
01/01/2012,Kurunegala,159
01/02/2012,Kurunegala,148
01/03/2012,Kurunegala,114
01/04/2012,Kurunegala,100
01/05/2012,Kurunegala,140
01/06/2012,Kurunegala,342
01/07/2012,Kurunegala,406
01/08/2012,Kurunegala,401
01/09/2012,Kurunegala,320
01/10/2012,Kurunegala,311
01/11/2012,Kurunegala,497
01/12/2012,Kurunegala,599
01/01/2012,Puttalama,131
01/02/2012,Puttalama,101
01/03/2012,Puttalama,69
01/04/2012,Puttalama,55
01/05/2012,Puttalama,98
01/06/2012,Puttalama,178
01/07/2012,Puttalama,98
01/08/2012,Puttalama,142
01/09/2012,Puttalama,253
01/10/2012,Puttalama,159
01/11/2012,Puttalama,251
01/12/2012,Puttalama,265
01/01/2012,Anuradapura,38
01/02/2012,Anuradapura,37
01/03/2012,Anuradapura,36
01/04/2012,Anuradapura,26
01/05/2012,Anuradapura,29
01/06/2012,Anuradapura,56
01/07/2012,Anuradapura,31
01/08/2012,Anuradapura,34
01/09/2012,Anuradapura,26
01/10/2012,Anuradapura,27
01/11/2012,Anuradapura,34
01/12/2012,Anuradapura,119
01/01/2012,Polonnaruwa,25
01/02/2012,Polonnaruwa,27
01/03/2012,Polonnaruwa,21
01/04/2012,Polonnaruwa,11
01/05/2012,Polonnaruwa,17
01/06/2012,Polonnaruwa,37
01/07/2012,Polonnaruwa,22
01/08/2012,Polonnaruwa,38
01/09/2012,Polonnaruwa,12
01/10/2012,Polonnaruwa,21
01/11/2012,Polonnaruwa,15
01/12/2012,Polonnaruwa,43
01/01/2012,Badulla,40
01/02/2012,Badulla,22
01/03/2012,Badulla,13
01/04/2012,Badulla,11
01/05/2012,Badulla,20
01/06/2012,Badulla,57
01/07/2012,Badulla,48
01/08/2012,Badulla,40
01/09/2012,Badulla,35
01/10/2012,Badulla,41
01/11/2012,Badulla,49
01/12/2012,Badulla,54
01/01/2012,Monaragala,16
01/02/2012,Monaragala,23
01/03/2012,Monaragala,23
01/04/2012,Monaragala,15
01/05/2012,Monaragala,22
01/06/2012,Monaragala,38
01/07/2012,Monaragala,33
01/08/2012,Monaragala,36
01/09/2012,Monaragala,16
01/10/2012,Monaragala,17
01/11/2012,Monaragala,29
01/12/2012,Monaragala,19
01/01/2012,Rathnapura,126
01/02/2012,Rathnapura,153
01/03/2012,Rathnapura,160
01/04/2012,Rathnapura,183
01/05/2012,Rathnapura,257
01/06/2012,Rathnapura,874
01/07/2012,Rathnapura,621
01/08/2012,Rathnapura,648
01/09/2012,Rathnapura,310
01/10/2012,Rathnapura,194
01/11/2012,Rathnapura,262
01/12/2012,Rathnapura,150
01/01/2012,Kegalla,173
01/02/2012,Kegalla,144
01/03/2012,Kegalla,121
01/04/2012,Kegalla,146
01/05/2012,Kegalla,213
01/06/2012,Kegalla,557
01/07/2012,Kegalla,385
01/08/2012,Kegalla,331
01/09/2012,Kegalla,174
01/10/2012,Kegalla,148
01/11/2012,Kegalla,156
01/12/2012,Kegalla,157
01/01/2012,Kalminai,41
01/02/2012,Kalminai,43
01/03/2012,Kalminai,25
01/04/2012,Kalminai,8
01/05/2012,Kalminai,10
01/06/2012,Kalminai,23
01/07/2012,Kalminai,9
01/08/2012,Kalminai,11
01/09/2012,Kalminai,3
01/10/2012,Kalminai,22
01/11/2012,Kalminai,69
01/12/2012,Kalminai,138
01/01/2013,Colombo,757
01/02/2013,Colombo,845
01/03/2013,Colombo,791
01/04/2013,Colombo,610
01/05/2013,Colombo,748
01/06/2013,Colombo,830
